Step 120: Latitude: 38.6145100, Longitude: 68.7692700, Distance to trail: 1.11 м, time: 1733997733 сек, Time difference: 1 сек
Step 121: Latitude: 38.6145200, Longitude: 68.7692700, Distance to trail: 103.03 м, time: 1733997734 сек, Time difference: 1 сек
Step 122: Latitude: 38.6154100, Longitude: 68.7689400, Distance to trail: 111.17 м, time: 1733997735 сек, Time difference: 1 сек
Step 123: Latitude: 38.6163800, Longitude: 68.7686300, Distance to trail: 107.05 м, time: 1733997736 сек, Time difference: 1 сек
Step 124: Latitude: 38.6173300, Longitude: 68.7684300, Distance to trail: 120.71 м, time: 1733997737 сек, Time difference: 1 сек
Step 125: Latitude: 38.6184100, Longitude: 68.7682899, Distance to trail: 65.18 м, time: 1733997738 сек, Time difference: 1 сек
Step 126: Latitude: 38.6189899, Longitude: 68.7681800, Distance to trail: 711.01 м, time: 1733997739 сек, Time difference: 1 сек
Step 127: Latitude: 38.6253400, Longitude: 68.7672200, Distance to trail: 56.40 м, time: 1733997740 сек, Time difference: 1 сек
Step 128: Latitude: 38.6258399, Longitude: 68.7671100, Distance to trail: 168.96 м, time: 1733997741 сек, Time difference: 1 сек
Step 129: Latitude: 38.6273200, Longitude: 68.7666700, Distance to trail: 96.14 м, time: 1733997742 сек, Time difference: 1 сек
Step 130: Latitude: 38.6281500, Longitude: 68.7663600, Distance to trail: 246.90 м, time: 1733997743 сек, Time difference: 1 сек
Step 131: Latitude: 38.6303000, Longitude: 68.7656499, Distance to trail: 213.70 м, time: 1733997744 сек, Time difference: 1 сек
Step 132: Latitude: 38.6322000, Longitude: 68.7652800, Distance to trail: 189.27 м, time: 1733997745 сек, Time difference: 1 сек
Step 133: Latitude: 38.6339000, Longitude: 68.7651700, Distance to trail: 3.45 м, time: 1733997746 сек, Time difference: 1 сек
Step 134: Latitude: 38.6339300, Longitude: 68.7651600, Distance to trail: 736.70 м, time: 1733997747 сек, Time difference: 1 сек
Step 135: Latitude: 38.6405500, Longitude: 68.7648200, Distance to trail: 127.42 м, time: 1733997748 сек, Time difference: 1 сек
Step 136: Latitude: 38.6416899, Longitude: 68.7646700, Distance to trail: 92.08 м, time: 1733997749 сек, Time difference: 1 сек
Step 137: Latitude: 38.6425000, Longitude: 68.7644500, Distance to trail: 504.69 м, time: 1733997750 сек, Time difference: 1 сек
Step 138: Latitude: 38.6468700, Longitude: 68.7628800, Distance to trail: 45.59 м, time: 1733997751 сек, Time difference: 1 сек
Step 139: Latitude: 38.6472800, Longitude: 68.7628800, Distance to trail: 31.24 м, time: 1733997752 сек, Time difference: 1 сек
Step 140: Latitude: 38.6475600, Longitude: 68.7629100, Distance to trail: 163.75 м, time: 1733997753 сек, Time difference: 1 сек
Step 141: Latitude: 38.6490099, Longitude: 68.7632400, Distance to trail: 8.95 м, time: 1733997754 сек, Time difference: 1 сек
Step 142: Latitude: 38.6490900, Longitude: 68.7632500, Distance to trail: 356.43 м, time: 1733997755 сек, Time difference: 1 сек
Step 143: Latitude: 38.6522400, Longitude: 68.7640100, Distance to trail: 8.94 м, time: 1733997756 сек, Time difference: 1 сек
Step 144: Latitude: 38.6523200, Longitude: 68.7640200, Distance to trail: 500.80 м, time: 1733997757 сек, Time difference: 1 сек
Step 145: Latitude: 38.6567500, Longitude: 68.7650600, Distance to trail: 25.57 м, time: 1733997758 сек, Time difference: 1 сек
Step 146: Latitude: 38.6569800, Longitude: 68.7650600, Distance to trail: 2.60 м, time: 1733997759 сек, Time difference: 1 сек
Step 147: Latitude: 38.6569800, Longitude: 68.7650900, Distance to trail: 1.41 м, time: 1733997760 сек, Time difference: 1 сек
Step 148: Latitude: 38.6569900, Longitude: 68.7651000, Distance to trail: 1.74 м, time: 1733997761 сек, Time difference: 1 сек
Step 149: Latitude: 38.6569900, Longitude: 68.7651200, Distance to trail: 1.40 м, time: 1733997762 сек, Time difference: 1 сек
Step 150: Latitude: 38.6569999, Longitude: 68.7651300, Distance to trail: 0.87 м, time: 1733997763 сек, Time difference: 1 сек
Step 151: Latitude: 38.6569999, Longitude: 68.7651400, Distance to trail: 7.06 м, time: 1733997764 сек, Time difference: 1 сек
Step 152: Latitude: 38.6570500, Longitude: 68.7651900, Distance to trail: 1.11 м, time: 1733997765 сек, Time difference: 1 сек
Step 153: Latitude: 38.6570600, Longitude: 68.7651900, Distance to trail: 1.41 м, time: 1733997766 сек, Time difference: 1 сек
Step 154: Latitude: 38.6570700, Longitude: 68.7651999, Distance to trail: 1.11 м, time: 1733997767 сек, Time difference: 1 сек
Step 155: Latitude: 38.6570800, Longitude: 68.7651999, Distance to trail: 0.88 м, time: 1733997768 сек, Time difference: 1 сек
Step 156: Latitude: 38.6570800, Longitude: 68.7652100, Distance to trail: 7.78 м, time: 1733997769 сек, Time difference: 1 сек
Step 157: Latitude: 38.6571500, Longitude: 68.7652100, Distance to trail: 1.42 м, time: 1733997770 сек, Time difference: 1 сек
Step 158: Latitude: 38.6571600, Longitude: 68.7651999, Distance to trail: 1.11 м, time: 1733997771 сек, Time difference: 1 сек
Step 159: Latitude: 38.6571700, Longitude: 68.7651999, Distance to trail: 1.40 м, time: 1733997772 сек, Time difference: 1 сек
Step 160: Latitude: 38.6571799, Longitude: 68.7651900, Distance to trail: 1.12 м, time: 1733997773 сек, Time difference: 1 сек
Step 161: Latitude: 38.6571900, Longitude: 68.7651900, Distance to trail: 1.41 м, time: 1733997774 сек, Time difference: 1 сек
Step 162: Latitude: 38.6572000, Longitude: 68.7651800, Distance to trail: 0.87 м, time: 1733997775 сек, Time difference: 1 сек
Step 163: Latitude: 38.6572000, Longitude: 68.7651700, Distance to trail: 1.11 м, time: 1733997776 сек, Time difference: 1 сек
Step 164: Latitude: 38.6572100, Longitude: 68.7651700, Distance to trail: 1.41 м, time: 1733997777 сек, Time difference: 1 сек
Step 165: Latitude: 38.6572200, Longitude: 68.7651600, Distance to trail: 28.92 м, time: 1733997778 сек, Time difference: 1 сек
Step 166: Latitude: 38.6574800, Longitude: 68.7651500, Distance to trail: 15.78 м, time: 1733997779 сек, Time difference: 1 сек
Step 167: Latitude: 38.6576200, Longitude: 68.7651800, Distance to trail: 4.45 м, time: 1733997780 сек, Time difference: 1 сек
Step 168: Latitude: 38.6576600, Longitude: 68.7651800, Distance to trail: 31.44 м, time: 1733997781 сек, Time difference: 1 сек
Step 169: Latitude: 38.6579400, Longitude: 68.7652300, Distance to trail: 534.25 м, time: 1733997782 сек, Time difference: 1 сек
Step 170: Latitude: 38.6627400, Longitude: 68.7655000, Distance to trail: 58.47 м, time: 1733997783 сек, Time difference: 1 сек
Step 171: Latitude: 38.6632600, Longitude: 68.7656000, Distance to trail: 50.41 м, time: 1733997784 сек, Time difference: 1 сек
Step 172: Latitude: 38.6637000, Longitude: 68.7657399, Distance to trail: 399.95 м, time: 1733997785 сек, Time difference: 1 сек
Step 173: Latitude: 38.6670700, Longitude: 68.7673499, Distance to trail: 90.34 м, time: 1733997786 сек, Time difference: 1 сек
Step 174: Latitude: 38.6678200, Longitude: 68.7677500, Distance to trail: 10.34 м, time: 1733997787 сек, Time difference: 1 сек
Step 175: Latitude: 38.6679100, Longitude: 68.7677800, Distance to trail: 154.41 м, time: 1733997788 сек, Time difference: 1 сек
Step 176: Latitude: 38.6692200, Longitude: 68.7683700, Distance to trail: 32.10 м, time: 1733997789 сек, Time difference: 1 сек
Step 177: Latitude: 38.6695000, Longitude: 68.7684600, Distance to trail: 15.78 м, time: 1733997790 сек, Time difference: 1 сек
Step 178: Latitude: 38.6696400, Longitude: 68.7684900, Distance to trail: 40.07 м, time: 1733997791 сек, Time difference: 1 сек
Step 179: Latitude: 38.6700000, Longitude: 68.7685100, Distance to trail: 24.52 м, time: 1733997792 сек, Time difference: 1 сек
Step 180: Latitude: 38.6702200, Longitude: 68.7684900, Distance to trail: 17.98 м, time: 1733997793 сек, Time difference: 1 сек
Step 181: Latitude: 38.6703800, Longitude: 68.7684600, Distance to trail: 34.26 м, time: 1733997794 сек, Time difference: 1 сек
Step 182: Latitude: 38.6706800, Longitude: 68.7683700, Distance to trail: 142.31 м, time: 1733997795 сек, Time difference: 1 сек
Step 183: Latitude: 38.6718800, Longitude: 68.7678000, Distance to trail: 36.42 м, time: 1733997796 сек, Time difference: 1 сек
Step 184: Latitude: 38.6721999, Longitude: 68.7677099, Distance to trail: 18.91 м, time: 1733997797 сек, Time difference: 1 сек
Step 185: Latitude: 38.6723700, Longitude: 68.7677099, Distance to trail: 23.50 м, time: 1733997798 сек, Time difference: 1 сек
Step 186: Latitude: 38.6725800, Longitude: 68.7677400, Distance to trail: 34.70 м, time: 1733997799 сек, Time difference: 1 сек
Step 187: Latitude: 38.6728800, Longitude: 68.7678500, Distance to trail: 48.48 м, time: 1733997800 сек, Time difference: 1 сек
Step 188: Latitude: 38.6732900, Longitude: 68.7680400, Distance to trail: 74.22 м, time: 1733997801 сек, Time difference: 1 сек
Step 189: Latitude: 38.6738799, Longitude: 68.7684400, Distance to trail: 22.48 м, time: 1733997802 сек, Time difference: 1 сек
Step 190: Latitude: 38.6740500, Longitude: 68.7685800, Distance to trail: 97.43 м, time: 1733997803 сек, Time difference: 1 сек
Step 191: Latitude: 38.6746800, Longitude: 68.7693600, Distance to trail: 29.52 м, time: 1733997804 сек, Time difference: 1 сек
Step 192: Latitude: 38.6748600, Longitude: 68.7696100, Distance to trail: 11.84 м, time: 1733997805 сек, Time difference: 1 сек
Step 193: Latitude: 38.6749400, Longitude: 68.7697000, Distance to trail: 109.86 м, time: 1733997806 сек, Time difference: 1 сек
Step 194: Latitude: 38.6756100, Longitude: 68.7706300, Distance to trail: 16.42 м, time: 1733997807 сек, Time difference: 1 сек
Step 195: Latitude: 38.6757000, Longitude: 68.7707800, Distance to trail: 154.69 м, time: 1733997808 сек, Time difference: 1 сек
Step 196: Latitude: 38.6764000, Longitude: 68.7723199, Distance to trail: 78.07 м, time: 1733997809 сек, Time difference: 1 сек
Step 197: Latitude: 38.6768100, Longitude: 68.7730500, Distance to trail: 29.67 м, time: 1733997810 сек, Time difference: 1 сек
Step 198: Latitude: 38.6770000, Longitude: 68.7732900, Distance to trail: 47.64 м, time: 1733997811 сек, Time difference: 1 сек
Step 199: Latitude: 38.6773300, Longitude: 68.7736400, Distance to trail: 33.08 м, time: 1733997812 сек, Time difference: 1 сек
Step 200: Latitude: 38.6775400, Longitude: 68.7739100, Distance to trail: 43.20 м, time: 1733997813 сек, Time difference: 1 сек
Step 201: Latitude: 38.6778500, Longitude: 68.7742100, Distance to trail: 41.15 м, time: 1733997814 сек, Time difference: 1 сек
Step 202: Latitude: 38.6781300, Longitude: 68.7745200, Distance to trail: 45.16 м, time: 1733997815 сек, Time difference: 1 сек
Step 203: Latitude: 38.6783800, Longitude: 68.7749300, Distance to trail: 16.68 м, time: 1733997816 сек, Time difference: 1 сек
Step 204: Latitude: 38.6784500, Longitude: 68.7751000, Distance to trail: 34.47 м, time: 1733997817 сек, Time difference: 1 сек
Step 205: Latitude: 38.6785400, Longitude: 68.7754800, Distance to trail: 36.47 м, time: 1733997818 сек, Time difference: 1 сек
Step 206: Latitude: 38.6785500, Longitude: 68.7758999, Distance to trail: 36.03 м, time: 1733997819 сек, Time difference: 1 сек
Step 207: Latitude: 38.6785000, Longitude: 68.7763100, Distance to trail: 298.82 м, time: 1733997820 сек, Time difference: 1 сек
Step 208: Latitude: 38.6777900, Longitude: 68.7796300, Distance to trail: 60.40 м, time: 1733997821 сек, Time difference: 1 сек
Step 209: Latitude: 38.6777200, Longitude: 68.7803200, Distance to trail: 98.10 м, time: 1733997822 сек, Time difference: 1 сек
